MRs,text,model
"name[The Punter], eatType[restaurant], food[Chinese], priceRange[less than £20], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",The Punter is a chinese restaurant in the less than £20 price range. It is located in the city centre near Raja Indian Cuisine and is family friendly.,slug
"name[The Waterman], eatType[pub], food[Italian], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",The Waterman is a pub that serves Italian food for less than £20. It is located in the city centre near Raja Indian Cuisine. It is not family-friendly.,ours
"name[The Waterman], eatType[pub], food[Italian], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",The Waterman is a pub providing italian food in the less than £20 price range. It is located in the city centre near Raja Indian Cuisine.,tgen
"name[The Waterman], eatType[pub], food[Italian], priceRange[less than £20], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",The Waterman is a pub providing italian food in the less than £20 price range. It is located in the city centre near Raja Indian Cuisine.,slug
"name[The Plough], eatType[pub], food[Chinese], priceRange[high], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",The Plough is a pub that provides Chinese food in the high price range. It is located in the city centre. It is near Raja Indian Cuisine.,ours
"name[The Plough], eatType[pub], food[Chinese], priceRange[high], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",The Plough is a high priced chinese pub located in the city centre near Raja Indian Cuisine. It is children friendly.,tgen
"name[The Plough], eatType[pub], food[Chinese], priceRange[high], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",The Plough is a high priced chinese pub located in the city centre near Raja Indian Cuisine. It is children friendly.,slug
"name[The Mill], eatType[restaurant], food[English], priceRange[less than £20], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",The Mill is a family-friendly restaurant that serves English food for less than £20. It is located in the city centre near Raja Indian Cuisine.,ours
"name[The Mill], eatType[restaurant], food[English], priceRange[less than £20], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",The Mill is a family-friendly english restaurant in the city centre near Raja Indian Cuisine with a price range less than £20.,tgen
"name[The Mill], eatType[restaurant], food[English], priceRange[less than £20], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",The Mill is a family-friendly english restaurant in the city centre near Raja Indian Cuisine with a price range less than £20.,slug
"name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",Giraffe is a fast food restaurant that is family friendly and is located near Raja Indian Cuisine in the riverside area.,ours
"name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",Giraffe is a family friendly fast food restaurant near Raja Indian Cuisine in the riverside area.,tgen
"name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",Giraffe is a family friendly fast food restaurant near Raja Indian Cuisine in the riverside area.,slug
"name[The Wrestlers], eatType[pub], food[Japanese], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The Wrestlers is a family friendly pub that serves Japanese food for less than £20. It is located in the riverside area near Raja Indian Cuisine.,ours
"name[The Wrestlers], eatType[pub], food[Japanese], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The Wrestlers is a family friendly pub serving japanese food in the riverside area near Raja Indian Cuisine. The price range is less than £20.,tgen
"name[The Wrestlers], eatType[pub], food[Japanese], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The Wrestlers is a family friendly pub serving japanese food in the riverside area near Raja Indian Cuisine. The price range is less than £20.,slug
"name[The Cricketers], eatType[restaurant], customer rating[1 out of 5], familyFriendly[yes], near[Avalon]",The Cricketers is a kid friendly restaurant near Avalon with a customer rating of 1 out of 5.,ours
"name[The Cricketers], eatType[restaurant], customer rating[1 out of 5], familyFriendly[yes], near[Avalon]",The Cricketers is a child friendly restaurant near Avalon with a customer rating of 1 out of 5.,tgen
"name[The Cricketers], eatType[restaurant], customer rating[1 out of 5], familyFriendly[yes], near[Avalon]",The Cricketers is a child friendly restaurant near Avalon with a customer rating of 1 out of 5.,slug
"name[The Cricketers], eatType[restaurant], food[English], priceRange[high], customer rating[average], area[city centre], familyFriendly[yes], near[Café Rouge]","The Cricketers is a high priced, child friendly restaurant that serves English food. It is located in the city centre near Café Rouge and has an average customer rating.",ours
"name[The Cricketers], eatType[restaurant], food[English], priceRange[high], customer rating[average], area[city centre], familyFriendly[yes], near[Café Rouge]",The Cricketers is a high priced english restaurant located in the city centre near Café Rouge. It is child friendly and has an average customer rating.,tgen
"name[The Cricketers], eatType[restaurant], food[English], priceRange[high], customer rating[average], area[city centre], familyFriendly[yes], near[Café Rouge]",The Cricketers is a high priced english restaurant located in the city centre near Café Rouge. It is child friendly and has an average customer rating.,slug
"name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[no], near[Café Sicilia]",The Cricketers is a restaurant near Café Sicilia. It is not family-friendly and has an average customer rating.,ours
"name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[no], near[Café Sicilia]",The Cricketers is a restaurant near Café Sicilia. It is not family-friendly and has an average customer rating.,tgen
"name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[no], near[Café Sicilia]",The Cricketers is a restaurant near Café Sicilia. It is not family-friendly and has an average customer rating.,slug
"name[The Waterman], eatType[pub], food[Italian], priceRange[high], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]",The Waterman is a pub that serves Italian food. It is located in riverside near Raja Indian Cuisine. It is not children friendly and has a high price range.,ours
"name[The Waterman], eatType[pub], food[Italian], priceRange[high], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]",The Waterman is a high priced italian pub near Raja Indian Cuisine in the riverside area. It is not children friendly.,tgen
"name[The Waterman], eatType[pub], food[Italian], priceRange[high], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]",The Waterman is a high priced italian pub near Raja Indian Cuisine in the riverside area. It is not children friendly.,slug
"name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]",The Phoenix is a kid friendly pub that serves French food. It is located near Café Sicilia in the riverside area. It has a customer rating of 3 out of 5 and a price range of £20-25.,ours
"name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]",The Phoenix is a family friendly french pub near Café Sicilia in the riverside area. It has a customer rating of 3 out of 5 and a price range of £20-25.,tgen
"name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[Café Sicilia]",The Phoenix is a family friendly french pub near Café Sicilia in the riverside area. It has a customer rating of 3 out of 5 and a price range of £20-25.,slug
"name[The Vaults], eatType[restaurant], food[French], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","The Vaults is a high priced, child friendly French restaurant in the riverside area near Raja Indian Cuisine.",ours
"name[The Vaults], eatType[restaurant], food[French], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The Vaults is a children friendly french restaurant in the riverside area near Raja Indian Cuisine with a high price range.,tgen
"name[The Vaults], eatType[restaurant], food[French], priceRange[high], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The Vaults is a children friendly french restaurant in the riverside area near Raja Indian Cuisine with a high price range.,slug
"name[Clowns], eatType[pub], customer rating[3 out of 5], near[All Bar One]",Clowns is a pub near All Bar One with a customer rating of 3 out of 5.,ours
"name[Clowns], eatType[pub], customer rating[3 out of 5], near[All Bar One]",Clowns pub near All Bar One has a customer rating of 3 out of 5.,tgen
"name[Clowns], eatType[pub], customer rating[3 out of 5], near[All Bar One]",Clowns pub near All Bar One has a customer rating of 3 out of 5.,slug
"name[The Vaults], eatType[restaurant], food[French], priceRange[more than £30], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]",The Vaults is a French restaurant located in riverside near Raja Indian Cuisine. It is not children friendly and has a price range of more than £30.,ours
"name[The Vaults], eatType[restaurant], food[French], priceRange[more than £30], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]",The Vaults is a french restaurant in the riverside area near Raja Indian Cuisine. It has a price range of more than £30 and is not children friendly.,tgen
"name[The Vaults], eatType[restaurant], food[French], priceRange[more than £30], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]",The Vaults is a french restaurant in the riverside area near Raja Indian Cuisine. It has a price range of more than £30 and is not children friendly.,slug
"name[Cotto], eatType[pub], near[The Bakers]",Cotto is a pub near The Bakers.,ours
"name[Cotto], eatType[pub], near[The Bakers]",Cotto is a pub near The Bakers.,tgen
"name[Cotto], eatType[pub], near[The Bakers]",Cotto is a pub near The Bakers.,slug
"name[Blue Spice], eatType[restaurant], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]",Blue Spice is a restaurant that serves English food. It is located in riverside near Rainbow Vegetarian Café. It is not family-friendly.,ours
"name[Blue Spice], eatType[restaurant], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]",Blue Spice is a non family-friendly english restaurant near Rainbow Vegetarian Café in the riverside area.,tgen
"name[Blue Spice], eatType[restaurant], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]",Blue Spice is a non family-friendly english restaurant near Rainbow Vegetarian Café in the riverside area.,slug
"name[The Vaults], eatType[pub], food[Indian], priceRange[high], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",The Vaults is a pub that serves Indian food in the high price range. It is located in the city centre near Raja Indian Cuisine and is child friendly.,ours
"name[The Vaults], eatType[pub], food[Indian], priceRange[high], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",The Vaults is a children friendly pub serving indian food in the high price range. It is located in the city centre near Raja Indian Cuisine.,tgen
"name[The Vaults], eatType[pub], food[Indian], priceRange[high], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]",The Vaults is a children friendly pub serving indian food in the high price range. It is located in the city centre near Raja Indian Cuisine.,slug
"name[The Waterman], eatType[pub], food[Indian], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The Waterman is a pub that provides Indian food in the less than £20 price range. It is located in the riverside. It is near Raja Indian Cuisine.,ours
"name[The Waterman], eatType[pub], food[Indian], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The Waterman is a family friendly pub serving indian food in the less than £20 price range. It is located in the riverside area near Raja Indian Cuisine.,tgen
"name[The Waterman], eatType[pub], food[Indian], priceRange[less than £20], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The Waterman is a family friendly pub serving indian food in the less than £20 price range. It is located in the riverside area near Raja Indian Cuisine.,slug
"name[Strada], eatType[pub], customer rating[1 out of 5], near[All Bar One]",Strada is a pub near All Bar One with a customer rating of 1 out of 5.,ours
"name[Strada], eatType[pub], customer rating[1 out of 5], near[All Bar One]",Strada is a pub near All Bar One with a customer rating of 1 out of 5.,tgen
"name[Strada], eatType[pub], customer rating[1 out of 5], near[All Bar One]",Strada is a pub near All Bar One with a customer rating of 1 out of 5.,slug
"name[The Punter], eatType[pub], food[Chinese], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The Punter is a pub that provides Chinese food in the more than £30 price range. It is located in the riverside. It is near Raja Indian Cuisine.,ours
"name[The Punter], eatType[pub], food[Chinese], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The Punter is a pub providing chinese food in the more than £30 price range. It is located in the riverside. It is near Raja Indian Cuisine.,tgen
"name[The Punter], eatType[pub], food[Chinese], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The Punter is a pub providing chinese food in the more than £30 price range. It is located in the riverside. It is near Raja Indian Cuisine.,slug
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[no], near[Café Sicilia]",The Phoenix is a high rated pub that serves fast food. It is located near Café Sicilia in the riverside area. It is not children friendly and the price range is more than £30.,ours
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[no], near[Café Sicilia]",The Phoenix is a fast food pub near Café Sicilia in the riverside area. It has a high customer rating and a price range of more than £30.,tgen
"name[The Phoenix], eatType[pub], food[Fast food], priceRange[more than £30], customer rating[high], area[riverside], familyFriendly[no], near[Café Sicilia]",The Phoenix is a fast food pub near Café Sicilia in the riverside area. It has a high customer rating and a price range of more than £30.,slug
"name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","The Phoenix is a moderately priced, kid friendly fast food restaurant in the riverside area near Raja Indian Cuisine.",ours
"name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","The Phoenix is a moderately priced, kid friendly fast food restaurant near Raja Indian Cuisine in the riverside area.",tgen
"name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[moderate], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","The Phoenix is a moderately priced, kid friendly fast food restaurant near Raja Indian Cuisine in the riverside area.",slug
"name[The Waterman], eatType[restaurant], food[Italian], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]","The Waterman is a cheap, family friendly Italian restaurant in the riverside area near Raja Indian Cuisine.",ours
"name[The Waterman], eatType[restaurant], food[Italian], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The Waterman is a cheap family friendly italian restaurant near Raja Indian Cuisine in the riverside area.,tgen
"name[The Waterman], eatType[restaurant], food[Italian], priceRange[cheap], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The Waterman is a cheap family friendly italian restaurant near Raja Indian Cuisine in the riverside area.,slug
"name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], customer rating[3 out of 5], area[city centre], familyFriendly[yes], near[Café Sicilia]",The Phoenix is a kid friendly French pub located near Café Sicilia in the city centre. It has a customer rating of 3 out of 5 and a price range of £20-25.,ours
"name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], customer rating[3 out of 5], area[city centre], familyFriendly[yes], near[Café Sicilia]",The Phoenix is a family-friendly french restaurant located near Café Sicilia in the city centre. It has a customer rating of 3 out of 5 and a price range of £20-25.,tgen
"name[The Phoenix], eatType[pub], food[French], priceRange[£20-25], customer rating[3 out of 5], area[city centre], familyFriendly[yes], near[Café Sicilia]",The Phoenix is a family-friendly french restaurant located near Café Sicilia in the city centre. It has a customer rating of 3 out of 5 and a price range of £20-25.,slug
"name[The Wrestlers], eatType[restaurant], food[Japanese], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The Wrestlers is a Japanese restaurant located near Raja Indian Cuisine in the riverside area. It is children friendly and has a price range of more than £30.,ours
"name[The Wrestlers], eatType[restaurant], food[Japanese], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The Wrestlers is a children friendly japanese restaurant in the riverside area near Raja Indian Cuisine with a price range of more than £30.,tgen
"name[The Wrestlers], eatType[restaurant], food[Japanese], priceRange[more than £30], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]",The Wrestlers is a children friendly japanese restaurant in the riverside area near Raja Indian Cuisine with a price range of more than £30.,slug
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]",Blue Spice is a coffee shop near Burger King with an average customer rating.,ours
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]",Blue Spice is a coffee shop near Burger King. It has an average customer rating.,tgen
"name[Blue Spice], eatType[coffee shop], customer rating[average], near[Burger King]",Blue Spice is a coffee shop near Burger King. It has an average customer rating.,slug
"name[Clowns], eatType[coffee shop], near[The Sorrento]",Clowns is a coffee shop near The Sorrento.,ours
"name[Clowns], eatType[coffee shop], near[The Sorrento]",Clowns is a coffee shop with a low price range. It is located near The Sorrento.,tgen
"name[Clowns], eatType[coffee shop], near[The Sorrento]",Clowns is a coffee shop with a low price range. It is located near The Sorrento.,slug
"name[The Cricketers], eatType[restaurant], food[English], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[All Bar One]",The Cricketers is a kid friendly restaurant located in the city centre near All Bar One. It serves English food and has a high customer rating. The price range is £20-25.,ours
"name[The Cricketers], eatType[restaurant], food[English], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[All Bar One]",The Cricketers is a restaurant providing english food in the £20-25 price range. It is located in the city centre near All Bar One. Its customer rating is high.,tgen
"name[The Cricketers], eatType[restaurant], food[English], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[All Bar One]",The Cricketers is a restaurant providing english food in the £20-25 price range. It is located in the city centre near All Bar One. Its customer rating is high.,slug
"name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[moderate], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",The Phoenix is a moderately priced fast food restaurant located in the city centre near Raja Indian Cuisine. It is not kid friendly.,ours
"name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[moderate], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",The Phoenix is a fast food restaurant located in the city centre near Raja Indian Cuisine. It is not kid friendly and has a moderate price range.,tgen
"name[The Phoenix], eatType[restaurant], food[Fast food], priceRange[moderate], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]",The Phoenix is a fast food restaurant located in the city centre near Raja Indian Cuisine. It is not kid friendly and has a moderate price range.,slug
"name[The Vaults], eatType[pub], food[Italian], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]",The Vaults is a pub that serves Italian food. It is located in the city centre near Rainbow Vegetarian Café. It is children friendly and has a high customer rating. The price range is more than £30.,ours
"name[The Vaults], eatType[pub], food[Italian], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]",The Vaults is a children friendly italian pub located in the city centre near Rainbow Vegetarian Café. It has a high customer rating and a price range of more than £30.,tgen
"name[The Vaults], eatType[pub], food[Italian], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]",The Vaults is a children friendly italian pub located in the city centre near Rainbow Vegetarian Café. It has a high customer rating and a price range of more than £30.,slug
"name[The Punter], eatType[restaurant], food[Indian], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[no], near[Express by Holiday Inn]",The Punter is a restaurant providing Indian food in the less than £20 price range. It is located in the city centre. It is near Express by Holiday Inn. Its customer rating is low.,ours
"name[The Punter], eatType[restaurant], food[Indian], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[no], near[Express by Holiday Inn]",The Punter is a restaurant providing indian food in the less than £20 price range. It is located in the city centre. It is near Express by Holiday Inn. Its customer rating is low.,tgen
"name[The Punter], eatType[restaurant], food[Indian], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[no], near[Express by Holiday Inn]",The Punter is a restaurant providing indian food in the less than £20 price range. It is located in the city centre. It is near Express by Holiday Inn. Its customer rating is low.,slug
"name[The Mill], eatType[restaurant], food[English], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[yes], near[Café Rouge]","The Mill is a highly rated, child friendly restaurant that serves English food. It is located in the city centre near Café Rouge and has a price range of more than £30.",ours
"name[The Mill], eatType[restaurant], food[English], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[yes], near[Café Rouge]",The Mill is a child friendly english restaurant located near Café Rouge in the city centre. It has a high customer rating and a price range of more than £30.,tgen
